N°;Pedido;Fecha;Cliente;Segemento;Ventas [unid];Ventas [$]
56;379786;22/5/2021;12;Segmento 6;8;407,31
57;253860;8/8/2021;29;Segmento 8;1;56,39
58;748983;5/3/2021;27;Segmento 3;1;75,91
59;394764;25/6/2021;21;Segmento 3;1;5,64
60;740736;13/9/2021;26;Segmento 1;2;82,47
61;322297;11/7/2021;3;Segmento 6;9;386,17
62;494093;5/3/2021;7;Segmento 3;9;345,32
63;260554;26/3/2021;15;Segmento 4;8;601,77
64;846767;3/9/2021;21;Segmento 8;0;0
65;356305;28/7/2021;13;Segmento 6;8;339,84
66;901466;5/9/2021;31;Segmento 8;8;346,67
67;120522;12/2/2021;13;Segmento 2;7;219,53
68;40685;15/12/2021;18;Segmento 6;10;741,23
69;624286;16/11/2021;25;Segmento 6;4;369,89
70;847044;9/2/2021;6;Segmento 3;0;0
71;475931;14/12/2021;5;Segmento 3;0;0
72;794772;28/5/2021;18;Segmento 6;2;123,71
73;20653;27/4/2021;4;Segmento 5;4;0,1
74;937321;5/5/2021;15;Segmento 8;2;47,57
75;560850;3/1/2021;6;Segmento 3;3;144,15
76;43316;29/7/2021;12;Segmento 4;1;48,23
77;414035;1/4/2021;8;Segmento 7;3;176,84
78;953927;24/9/2021;28;Segmento 3;7;229,17
79;425834;29/6/2021;26;Segmento 4;0;0
80;883791;1/5/2021;10;Segmento 8;6;468,65
81;188967;13/1/2021;5;Segmento 5;1;27,13
82;305003;13/12/2021;35;Segmento 5;1;20,25
83;103357;3/9/2021;4;Segmento 8;0;0
84;475235;7/1/2021;8;Segmento 2;2;79,6
85;659945;19/3/2021;34;Segmento 8;4;258,87
86;454085;30/9/2021;32;Segmento 2;4;261,9
87;395414;25/11/2021;21;Segmento 4;7;662,81
88;411187;10/8/2021;10;Segmento 5;3;125,26
89;90723;12/6/2021;31;Segmento 3;8;452,36
90;290901;14/4/2021;12;Segmento 7;4;71,48
91;122257;16/2/2021;32;Segmento 4;8;645,5
92;778840;26/8/2021;28;Segmento 1;6;237,46
93;609243;30/4/2021;16;Segmento 2;9;26,57
94;739369;16/8/2021;2;Segmento 3;1;13,49
95;820119;22/8/2021;5;Segmento 6;3;134,03
96;687617;12/9/2021;19;Segmento 8;6;177,56
97;979457;5/12/2021;22;Segmento 5;7;312,3
98;445013;26/3/2021;24;Segmento 8;10;846,59
99;589989;5/11/2021;14;Segmento 4;3;1,63
100;469557;29/3/2021;8;Segmento 5;7;175,99
101;878746;20/1/2021;10;Segmento 2;7;549,07
102;831511;15/6/2021;11;Segmento 3;8;328,53
103;818436;28/12/2021;31;Segmento 3;6;100,63
104;865260;19/4/2021;22;Segmento 7;4;41,96
105;30814;6/6/2021;9;Segmento 7;5;245,69
106;856814;29/7/2021;32;Segmento 1;9;329,79
107;428254;12/12/2021;5;Segmento 3;7;296,33
108;574873;27/11/2021;27;Segmento 5;3;92,88
109;580869;2/9/2021;3;Segmento 4;7;293,74
110;859327;22/2/2021;19;Segmento 2;5;437,2
111;596718;7/4/2021;30;Segmento 1;0;0
112;600648;23/8/2021;14;Segmento 7;9;859,12
113;720258;12/7/2021;33;Segmento 4;4;55,83
114;619459;15/1/2021;9;Segmento 2;4;42,86
115;362625;21/8/2021;14;Segmento 6;5;462,78
116;272759;28/12/2021;34;Segmento 7;7;317,66
117;451715;11/7/2021;27;Segmento 6;9;305,27
118;116898;7/8/2021;9;Segmento 3;5;31,47
119;646967;23/7/2021;10;Segmento 4;5;322,2
120;814017;8/1/2021;35;Segmento 7;7;540,89
121;402979;15/1/2021;20;Segmento 4;10;768,94
122;232774;23/6/2021;35;Segmento 8;6;341,11
123;233617;24/10/2021;32;Segmento 1;8;681,57
124;814462;24/8/2021;13;Segmento 1;8;85,68
125;172585;7/7/2021;9;Segmento 2;10;954,13
126;139471;19/12/2021;21;Segmento 8;7;666,41
127;658400;2/10/2021;9;Segmento 3;8;270,58
128;654171;7/1/2021;2;Segmento 5;4;155,47
129;103398;17/10/2021;30;Segmento 4;2;55,89
130;70274;29/6/2021;2;Segmento 7;5;34,17
131;251398;3/11/2021;29;Segmento 8;3;120,16
132;601778;30/9/2021;22;Segmento 7;6;208,08
133;150437;17/8/2021;19;Segmento 2;1;68,21
134;801770;9/12/2021;28;Segmento 3;2;154,04
135;389235;8/6/2021;23;Segmento 7;1;31,45
136;335834;26/6/2021;33;Segmento 2;4;397,57
137;670984;7/12/2021;2;Segmento 1;5;419,02
138;18609;7/8/2021;31;Segmento 7;2;49,01
139;125318;16/8/2021;8;Segmento 6;4;217,08
140;929903;31/12/2021;10;Segmento 7;4;20,19
141;184901;17/6/2021;9;Segmento 8;2;147,68
142;621925;11/8/2021;12;Segmento 3;4;220,13
143;873173;2/6/2021;26;Segmento 6;1;61,37
144;270012;15/7/2021;11;Segmento 7;2;183,19
145;654033;12/3/2021;26;Segmento 6;1;45,46
146;878326;10/8/2021;7;Segmento 7;5;83,57
147;254474;10/3/2021;15;Segmento 4;1;4,07
148;885342;8/9/2021;15;Segmento 2;8;596,96
149;853390;15/2/2021;14;Segmento 4;10;430,17
150;692937;9/7/2021;34;Segmento 1;6;182,29
151;258981;11/3/2021;31;Segmento 6;9;151,95
152;128247;19/11/2021;7;Segmento 2;5;79,62
153;692634;10/10/2021;5;Segmento 5;5;361,03
154;693616;7/8/2021;2;Segmento 6;3;283,59
155;945278;23/10/2021;21;Segmento 2;7;503,89
156;745812;29/11/2021;5;Segmento 3;6;490,11
157;891617;17/7/2021;27;Segmento 2;4;161,56
158;660283;9/9/2021;11;Segmento 4;7;81,76
159;370790;23/8/2021;18;Segmento 7;8;289,44
160;765030;27/9/2021;4;Segmento 8;1;4,26
161;541015;21/9/2021;16;Segmento 5;4;327,13
162;261848;22/10/2021;15;Segmento 1;6;67,24
163;64212;23/10/2021;29;Segmento 2;4;218,27
164;415744;28/1/2021;32;Segmento 5;6;509,1
165;564813;30/1/2021;32;Segmento 8;5;466,51
166;778394;29/7/2021;2;Segmento 3;7;457,41
167;103663;10/6/2021;28;Segmento 4;5;128,63
168;974616;28/2/2021;29;Segmento 3;9;412,19
169;412920;26/11/2021;26;Segmento 5;8;19,44
170;772850;5/1/2021;28;Segmento 1;1;96,06
171;948503;4/8/2021;7;Segmento 4;9;557,38
172;109049;13/9/2021;28;Segmento 7;7;548,93
173;752061;21/6/2021;4;Segmento 4;7;120,57
174;188790;13/9/2021;16;Segmento 1;4;261,74
175;730838;25/10/2021;28;Segmento 5;1;40,94
176;921032;30/7/2021;5;Segmento 6;8;643,26
177;268647;7/7/2021;11;Segmento 4;10;876,46
178;303537;18/4/2021;27;Segmento 3;5;279,59
179;104622;2/7/2021;11;Segmento 7;1;45,87
180;817040;6/4/2021;10;Segmento 2;4;363,19
181;438258;24/5/2021;17;Segmento 5;6;139,62
182;143606;15/3/2021;32;Segmento 6;0;0
183;519287;27/8/2021;22;Segmento 6;5;49,27
184;420450;23/6/2021;19;Segmento 3;10;358,53
185;802136;28/11/2021;31;Segmento 7;1;17,5
186;606361;13/2/2021;3;Segmento 2;7;583,96
187;385564;1/5/2021;4;Segmento 6;4;41,98
188;785977;5/5/2021;20;Segmento 5;4;70,52
189;333124;15/3/2021;31;Segmento 3;7;18,35
190;14751;26/1/2021;10;Segmento 1;9;503,5
191;351289;4/9/2021;19;Segmento 3;8;726,99
192;173836;5/3/2021;6;Segmento 1;3;242,64
193;720806;2/1/2021;4;Segmento 5;3;131,99
194;806851;8/12/2021;17;Segmento 1;7;421,85
195;415474;7/12/2021;24;Segmento 4;3;237,79
196;772856;24/9/2021;4;Segmento 3;4;257,47
197;438745;30/1/2021;23;Segmento 1;2;3,48
198;610244;24/12/2021;20;Segmento 4;7;541,09
199;261592;30/9/2021;20;Segmento 8;8;73,98
200;289794;22/7/2021;9;Segmento 5;5;228,91
201;150551;28/2/2021;30;Segmento 8;5;79,12
202;371224;2/5/2021;30;Segmento 4;8;712,9
203;337901;21/5/2021;11;Segmento 4;0;0
204;597879;8/2/2021;26;Segmento 6;3;143,18
205;931515;14/12/2021;24;Segmento 6;8;562,72
206;712469;24/12/2021;2;Segmento 6;8;314,58
207;50244;7/11/2021;33;Segmento 8;1;33,78
208;405635;24/4/2021;13;Segmento 7;1;37,09
209;275534;19/6/2021;27;Segmento 3;7;159,57
210;259793;31/7/2021;1;Segmento 1;6;73,4
211;340617;14/2/2021;18;Segmento 3;3;251,36
212;659946;14/3/2021;7;Segmento 1;7;42,32
213;134163;16/11/2021;29;Segmento 8;7;115,39
214;993854;29/4/2021;23;Segmento 2;8;71,24
215;698704;28/12/2021;23;Segmento 2;9;485,29
216;993405;29/6/2021;1;Segmento 5;3;295,91
217;999396;24/10/2021;3;Segmento 6;6;583,8
218;675690;16/10/2021;19;Segmento 4;2;179,93
219;893622;6/2/2021;14;Segmento 5;2;53,09
220;561564;28/2/2021;32;Segmento 5;7;98,56
221;79747;30/10/2021;12;Segmento 8;5;18,11
222;139613;18/1/2021;5;Segmento 5;6;154,15
223;688105;3/2/2021;4;Segmento 8;9;337,35
224;325198;29/9/2021;35;Segmento 5;8;548,7
225;891449;30/11/2021;27;Segmento 8;1;23,94
226;118149;14/4/2021;1;Segmento 6;9;807,04
227;210087;21/7/2021;7;Segmento 2;3;190,5
228;425590;19/9/2021;35;Segmento 5;4;301,71
229;339341;30/4/2021;31;Segmento 6;5;316,04
230;877334;5/4/2021;8;Segmento 7;6;54,89
231;531653;23/6/2021;34;Segmento 6;1;64,51
232;34511;18/3/2021;6;Segmento 4;3;145,21
233;269803;30/6/2021;31;Segmento 7;8;328,29
234;224654;18/6/2021;14;Segmento 8;4;216,02
235;174406;19/7/2021;23;Segmento 4;3;202,84
236;610031;26/5/2021;21;Segmento 4;4;284,16
237;576559;28/4/2021;14;Segmento 2;0;0
238;883277;23/11/2021;19;Segmento 5;4;13,08
239;883710;7/4/2021;1;Segmento 4;10;348,34
240;939264;17/4/2021;24;Segmento 3;9;112,5
241;450984;10/6/2021;34;Segmento 1;3;181,52
242;439671;2/12/2021;14;Segmento 3;0;0
243;372477;23/3/2021;2;Segmento 5;10;710,23
244;55442;16/6/2021;1;Segmento 4;10;589,75
245;608283;15/1/2021;6;Segmento 8;8;513,42
246;119776;29/7/2021;24;Segmento 6;3;127,81
247;840259;12/10/2021;21;Segmento 7;4;58,91
248;124337;18/7/2021;31;Segmento 8;4;47,44
249;540208;11/3/2021;34;Segmento 2;2;58,12
250;224643;6/9/2021;9;Segmento 2;4;315,27
251;880623;2/7/2021;26;Segmento 5;1;65,51
252;977894;6/2/2021;33;Segmento 6;4;180,48
253;251664;16/12/2021;9;Segmento 1;2;113,74
254;251155;26/10/2021;8;Segmento 4;3;236,49
255;873978;10/4/2021;11;Segmento 1;3;267,98
256;862191;23/2/2021;11;Segmento 8;5;155,13
257;279057;28/2/2021;34;Segmento 4;7;317,5
258;315728;5/12/2021;5;Segmento 5;2;189,5
259;496047;29/6/2021;28;Segmento 3;4;220,5
260;636592;28/4/2021;16;Segmento 8;7;555,43
261;445989;31/12/2021;8;Segmento 3;6;103,76
262;569948;13/9/2021;23;Segmento 4;10;208,55
263;366537;3/1/2021;27;Segmento 8;5;457,59
264;819018;10/12/2021;15;Segmento 4;7;306,89
265;518170;16/11/2021;6;Segmento 2;9;162,26
266;917862;7/4/2021;1;Segmento 5;10;846,64
267;509025;29/12/2021;6;Segmento 3;8;492,07
268;156632;25/7/2021;19;Segmento 8;8;736,17
269;347522;11/2/2021;31;Segmento 7;1;49,58
270;787278;19/10/2021;22;Segmento 4;3;213,2
271;934803;3/7/2021;29;Segmento 6;6;566,49
272;408654;9/6/2021;15;Segmento 6;4;267,57
273;236023;7/10/2021;16;Segmento 3;2;138,86
274;453266;16/8/2021;16;Segmento 6;4;202,49
275;684960;5/6/2021;12;Segmento 4;1;79,83
276;95555;22/10/2021;29;Segmento 7;10;422,09
277;811173;14/8/2021;4;Segmento 3;3;5,49
278;634238;29/6/2021;16;Segmento 1;3;263,89
279;514026;20/6/2021;25;Segmento 7;6;173,03
280;778506;9/2/2021;22;Segmento 3;1;26,39
281;305399;27/9/2021;18;Segmento 5;7;93,56
282;837408;5/7/2021;19;Segmento 4;6;417,73
283;110578;21/12/2021;32;Segmento 1;3;154,15
284;540564;25/2/2021;17;Segmento 3;8;69,68
285;534775;16/11/2021;3;Segmento 1;8;494,63
286;425264;29/12/2021;34;Segmento 3;1;23,56
287;836001;3/8/2021;33;Segmento 3;9;453,86
288;678362;30/7/2021;6;Segmento 4;6;358,62
289;320938;7/6/2021;34;Segmento 1;2;77,79
290;541617;27/11/2021;31;Segmento 3;6;167,78
291;96501;20/8/2021;7;Segmento 5;4;37,76
292;172585;27/5/2021;9;Segmento 3;10;651,97
293;91486;22/3/2021;34;Segmento 8;1;48,4
294;559157;10/5/2021;12;Segmento 5;5;447,88
295;973778;12/4/2021;23;Segmento 2;2;43,03
296;276891;2/3/2021;27;Segmento 2;2;164,4
297;34843;23/4/2021;10;Segmento 1;8;360,46
298;451202;4/4/2021;23;Segmento 8;3;60,92
299;681374;28/3/2021;4;Segmento 2;1;12,36
300;836320;19/1/2021;30;Segmento 1;1;49,89
301;204345;19/6/2021;1;Segmento 7;6;181,35
302;673764;6/12/2021;11;Segmento 6;7;398,61
303;216529;15/3/2021;34;Segmento 8;8;568,88
304;392618;23/11/2021;15;Segmento 2;1;49,55
305;848489;6/12/2021;8;Segmento 1;5;320,02
306;85942;7/11/2021;5;Segmento 3;10;72,01
307;114280;7/10/2021;11;Segmento 3;9;287,19
308;776770;26/10/2021;6;Segmento 5;4;140,89
309;655627;20/5/2021;15;Segmento 3;1;24,27
310;527567;31/1/2021;14;Segmento 1;3;23,21
311;995568;27/3/2021;13;Segmento 1;2;183,06
312;531027;14/8/2021;22;Segmento 3;9;25,97
313;663361;20/12/2021;19;Segmento 7;1;16,33
314;30802;30/8/2021;26;Segmento 4;9;689,72
315;290185;21/6/2021;14;Segmento 8;0;0
316;104861;12/4/2021;2;Segmento 8;3;268,91
317;872072;22/3/2021;30;Segmento 1;6;433,35
318;434753;1/4/2021;21;Segmento 5;10;445,1
319;947732;8/4/2021;9;Segmento 5;9;254,71
320;675949;19/9/2021;4;Segmento 7;2;197,1
321;192247;5/8/2021;13;Segmento 3;4;375,92
322;446186;24/5/2021;16;Segmento 3;1;68,68
323;272544;9/4/2021;20;Segmento 8;6;15,8
324;438983;17/7/2021;33;Segmento 4;3;133,53
325;995989;31/3/2021;26;Segmento 6;1;50,18
326;44745;22/8/2021;16;Segmento 1;4;135,34
327;29246;25/12/2021;25;Segmento 2;9;204,97
328;237581;19/3/2021;7;Segmento 7;5;121,08
329;688582;7/4/2021;28;Segmento 6;5;446,44
330;924016;24/2/2021;30;Segmento 3;1;39,89
331;521301;13/3/2021;6;Segmento 6;6;45,57
332;780024;9/8/2021;4;Segmento 1;1;78,95
333;418618;16/3/2021;35;Segmento 7;2;90,18
334;657422;26/4/2021;26;Segmento 5;7;283,52
335;397760;4/10/2021;33;Segmento 8;9;406,66
336;33890;24/7/2021;13;Segmento 8;2;198,2
337;216056;2/7/2021;32;Segmento 2;3;133,19
338;921597;15/12/2021;18;Segmento 3;1;78,12
339;803962;18/9/2021;10;Segmento 7;10;269,24
340;656500;27/4/2021;31;Segmento 7;10;187,72
341;955798;15/3/2021;10;Segmento 1;5;423,9
342;938845;10/7/2021;26;Segmento 5;0;0
343;357357;11/2/2021;28;Segmento 1;4;379,34
344;710493;25/6/2021;29;Segmento 7;5;222,43
345;565293;6/1/2021;23;Segmento 1;9;362,15
346;346518;1/12/2021;6;Segmento 3;5;484,65
347;294383;9/11/2021;33;Segmento 1;6;485,12
348;655609;26/4/2021;17;Segmento 1;1;96,3
349;827937;22/7/2021;26;Segmento 2;3;231,31
350;445412;5/12/2021;28;Segmento 3;10;530,03
351;126705;20/1/2021;2;Segmento 1;7;73,7
352;827245;31/5/2021;16;Segmento 7;5;414,98
353;169540;12/7/2021;19;Segmento 8;7;511,62
354;56251;18/11/2021;19;Segmento 1;5;356,34
355;611890;1/5/2021;34;Segmento 4;2;114,47
356;803731;30/4/2021;9;Segmento 2;7;354,87
357;970638;16/3/2021;31;Segmento 4;2;63,45
358;762015;18/3/2021;32;Segmento 6;4;374,19
359;550012;28/9/2021;15;Segmento 2;8;746,06
360;950956;21/4/2021;26;Segmento 8;9;714,36
361;555985;24/8/2021;25;Segmento 2;2;10,59
362;948050;13/4/2021;1;Segmento 5;10;285,53
363;754669;3/5/2021;32;Segmento 7;2;185,89
364;666646;2/4/2021;22;Segmento 6;1;49,01
365;372512;27/2/2021;15;Segmento 3;0;0
366;384931;30/6/2021;9;Segmento 1;2;133,48
367;547951;1/3/2021;21;Segmento 5;1;85,39
368;769735;19/12/2021;1;Segmento 6;1;44,58
369;981936;13/4/2021;35;Segmento 4;2;59,68
370;103693;29/10/2021;2;Segmento 8;9;229,78
371;402294;11/5/2021;26;Segmento 2;4;165,59
372;73900;28/10/2021;26;Segmento 5;2;5,63
373;80622;18/9/2021;14;Segmento 7;0;0
374;173768;28/9/2021;24;Segmento 3;9;343,8
375;17153;22/11/2021;21;Segmento 1;7;295,59
376;767107;7/6/2021;32;Segmento 5;6;358,95
377;750194;29/4/2021;35;Segmento 3;5;326,67
378;965020;27/10/2021;16;Segmento 1;9;642,18
379;6536;27/7/2021;5;Segmento 1;5;111,16
380;441336;28/10/2021;24;Segmento 6;5;327,15
381;608227;25/11/2021;1;Segmento 8;0;0
382;857617;20/11/2021;15;Segmento 4;4;276,1
383;757182;14/9/2021;21;Segmento 8;4;272,72
384;5734;1/6/2021;19;Segmento 4;7;193,95
385;182575;8/12/2021;30;Segmento 4;1;90,96
386;4140;1/3/2021;2;Segmento 5;10;589,57
387;661517;31/10/2021;1;Segmento 5;9;158,42
388;690888;27/10/2021;13;Segmento 1;7;377,31
389;315189;9/12/2021;10;Segmento 5;2;7,33
390;319138;12/5/2021;4;Segmento 5;1;17,84
391;143828;31/5/2021;7;Segmento 8;8;80,5
392;133084;17/12/2021;19;Segmento 4;10;930,29
393;499741;27/2/2021;2;Segmento 5;1;86,84
394;88802;12/4/2021;25;Segmento 3;9;430,63
395;907976;12/5/2021;32;Segmento 7;1;95,79
396;206086;6/3/2021;30;Segmento 1;3;204,54
397;347774;1/5/2021;22;Segmento 1;4;287,97
398;660516;20/3/2021;18;Segmento 1;5;252,57
399;590871;14/2/2021;20;Segmento 1;9;461,01
400;564844;17/2/2021;7;Segmento 3;2;63,33
401;349084;19/8/2021;4;Segmento 5;10;238
402;170397;5/5/2021;33;Segmento 7;2;84,49
403;694482;22/12/2021;22;Segmento 7;10;641,84
404;250708;25/4/2021;7;Segmento 5;1;10,33
405;67997;2/12/2021;1;Segmento 4;4;53,05
406;304544;25/3/2021;25;Segmento 8;3;271,64
407;728481;4/7/2021;13;Segmento 6;3;2,21
408;415608;6/2/2021;9;Segmento 8;8;194,52
409;96956;15/5/2021;24;Segmento 6;9;647,13
410;305246;4/4/2021;14;Segmento 8;4;17,99
411;667131;10/2/2021;24;Segmento 4;5;471,24
412;790498;13/5/2021;11;Segmento 6;1;42,06
413;885221;4/6/2021;16;Segmento 7;8;405,23
414;992664;18/6/2021;15;Segmento 7;7;89,87
415;702938;23/9/2021;34;Segmento 7;2;182,04
416;522477;19/5/2021;9;Segmento 5;3;57,17
417;268919;7/3/2021;33;Segmento 1;9;225,63
418;769933;17/3/2021;31;Segmento 2;9;665,88
419;299132;22/5/2021;13;Segmento 3;0;0
420;512368;28/10/2021;34;Segmento 7;4;69,04
421;490873;27/10/2021;24;Segmento 3;4;49,31
422;418555;20/10/2021;34;Segmento 1;7;214,43
423;820064;17/12/2021;23;Segmento 3;9;589,65
424;435958;8/5/2021;33;Segmento 6;2;142,22
425;228785;30/8/2021;33;Segmento 7;7;390,21
426;488876;7/7/2021;1;Segmento 2;8;378,6
427;407187;19/9/2021;28;Segmento 5;9;854,05
428;416166;1/1/2021;16;Segmento 6;2;116,55
429;538451;18/5/2021;1;Segmento 1;4;220,53
430;134129;28/11/2021;16;Segmento 2;4;116,2
431;847155;28/11/2021;3;Segmento 8;9;558,38
432;774261;10/2/2021;27;Segmento 4;9;856,47
433;423;3/12/2021;13;Segmento 7;1;59,31
434;360157;19/11/2021;35;Segmento 6;2;176,71
435;624028;15/3/2021;12;Segmento 7;2;105,61
436;839389;9/3/2021;9;Segmento 1;8;714,64
437;936024;16/12/2021;9;Segmento 4;2;160,35
438;893090;1/8/2021;28;Segmento 2;6;333,74
439;688803;29/12/2021;26;Segmento 8;2;142,21
440;759546;26/7/2021;15;Segmento 3;4;100,56
441;291647;10/5/2021;9;Segmento 8;9;144,79
442;409767;7/3/2021;27;Segmento 2;7;117,6
443;972443;23/5/2021;8;Segmento 5;5;84,98
444;323637;22/6/2021;7;Segmento 2;9;448,45
445;928084;17/2/2021;9;Segmento 2;1;49,52
446;210307;11/11/2021;8;Segmento 7;7;600,85
447;658564;27/1/2021;19;Segmento 8;7;495,96
448;642940;2/10/2021;27;Segmento 2;7;240,86
449;479792;22/8/2021;14;Segmento 1;2;9,91
450;696392;25/9/2021;21;Segmento 3;5;402,66
451;243146;11/1/2021;25;Segmento 1;4;346,61
452;294533;3/2/2021;13;Segmento 2;7;693,28
453;768681;7/10/2021;20;Segmento 7;10;824,52
454;177763;20/6/2021;11;Segmento 4;1;92,85
455;691741;28/12/2021;2;Segmento 8;1;12,02
456;92539;1/6/2021;23;Segmento 8;5;393,65
457;985807;1/8/2021;30;Segmento 1;1;66,75
458;187357;20/11/2021;22;Segmento 8;8;651,18
459;666670;25/3/2021;12;Segmento 1;1;38,67
460;76019;30/10/2021;32;Segmento 8;4;183,52
461;637981;6/2/2021;4;Segmento 7;3;46,51
462;609196;18/9/2021;4;Segmento 3;3;72,82
463;810799;17/9/2021;22;Segmento 6;5;413,57
464;894768;12/1/2021;13;Segmento 8;8;25,13
465;226427;24/3/2021;20;Segmento 2;8;658,63
466;157915;23/11/2021;16;Segmento 4;2;35,45
467;826499;3/9/2021;27;Segmento 6;10;530,68
468;88165;28/12/2021;21;Segmento 7;3;24,69
469;460951;11/5/2021;34;Segmento 4;4;62,52
470;325457;25/3/2021;28;Segmento 2;6;473,78
471;45767;11/2/2021;18;Segmento 6;1;73,04
472;75073;17/1/2021;31;Segmento 3;0;0
473;70605;15/7/2021;16;Segmento 7;1;89,85
474;237311;31/1/2021;17;Segmento 2;6;501,07
475;376832;14/12/2021;1;Segmento 7;7;406,28
476;319794;18/5/2021;26;Segmento 5;3;118,22
477;958866;22/11/2021;27;Segmento 1;4;198,6
478;755287;29/7/2021;15;Segmento 7;2;147,49
479;717576;15/5/2021;9;Segmento 4;4;129,86
480;895885;2/12/2021;30;Segmento 7;6;410,17
481;638064;20/1/2021;10;Segmento 6;4;4,87
482;964469;19/3/2021;25;Segmento 4;6;20,09
483;240936;31/12/2021;22;Segmento 2;4;106,36
484;477891;17/12/2021;4;Segmento 1;1;16,98
485;553274;11/8/2021;29;Segmento 7;4;46,6
486;125176;17/2/2021;5;Segmento 2;9;274,46
487;482368;2/8/2021;5;Segmento 4;7;327,89
488;317876;7/11/2021;7;Segmento 6;7;5,95
489;101043;9/4/2021;4;Segmento 5;7;479,21
490;18741;3/6/2021;28;Segmento 7;1;39,66
491;573908;9/10/2021;35;Segmento 2;1;90,58
492;627570;6/12/2021;6;Segmento 7;0;0
493;490730;16/11/2021;12;Segmento 7;5;482,12
494;840493;4/11/2021;3;Segmento 8;8;155,6
495;605135;12/10/2021;21;Segmento 3;2;96,94
496;899040;8/7/2021;1;Segmento 5;6;91,14
497;458938;12/12/2021;4;Segmento 3;5;460,32
498;401539;1/10/2021;10;Segmento 2;1;17,87
499;799279;16/5/2021;6;Segmento 4;1;48,5
500;255701;26/4/2021;31;Segmento 7;5;9,83
501;376306;18/12/2021;31;Segmento 5;2;114,03
502;3029;25/3/2021;9;Segmento 3;8;694,5
503;297448;1/6/2021;1;Segmento 1;9;869,24
504;292118;27/9/2021;27;Segmento 1;7;144,69
505;138737;18/8/2021;12;Segmento 4;6;552,29
506;654295;9/10/2021;8;Segmento 5;9;860,57
507;633404;5/7/2021;34;Segmento 3;4;196,81
508;100059;29/9/2021;32;Segmento 5;3;4,95
509;748969;6/1/2021;18;Segmento 6;3;73,91
510;417003;7/3/2021;19;Segmento 2;4;360,54
511;88439;1/10/2021;13;Segmento 3;8;513,82
512;731537;16/6/2021;23;Segmento 2;9;608,17
513;452797;9/7/2021;30;Segmento 4;6;384,14
514;578842;25/3/2021;33;Segmento 4;8;720,67
515;640304;27/11/2021;33;Segmento 1;7;498,6
516;571092;10/1/2021;9;Segmento 2;1;10,95
517;846276;21/7/2021;14;Segmento 2;4;156,88
